date,TF,HF,OT
2022/9/10 8:10,29.95228333,69.18406667,7.657442366
2022/9/10 8:20,30.10050833,68.99026667,7.712499317
2022/9/10 8:30,30.17854167,69.79845,7.751903928
2022/9/10 8:40,30.40509167,68.8231,7.757127931
2022/9/10 8:50,30.448025,69.1309,7.750558093
2022/9/10 9:00,30.30780833,70.41018333,7.799244447
2022/9/10 9:10,30.57551667,70.66455,7.948616666
2022/9/10 9:20,30.71543333,70.14421667,7.93644819
2022/9/10 9:30,30.49229167,69.96235,7.877109766
2022/9/10 9:40,30.55771667,69.5788,7.909443215
2022/9/10 9:50,30.78928333,68.36761667,6.631093312
2022/9/10 10:00,31.04698333,67.82443333,7.751395511
2022/9/10 10:10,31.10403333,67.7957,7.804756798
2022/9/10 10:20,31.02680833,68.18341667,7.580976082
2022/9/10 10:30,31.01040833,68.35821667,7.534659369
2022/9/10 10:40,31.39644167,67.28021667,7.781252097
2022/9/10 10:50,31.4535,67.45796667,8.022115173
2022/9/10 11:00,31.62031667,66.23258333,7.310598051
2022/9/10 11:10,31.83599167,64.5337,7.674067737
2022/9/10 11:20,32.16520833,63.38655,7.882664844
2022/9/10 11:30,32.186075,62.57215,8.314137699
2022/9/10 11:40,32.17541667,62.86756667,7.319253522
2022/9/10 11:50,32.25595833,62.70435,7.596461234
2022/9/10 12:00,32.337425,62.0458,7.713914021
2022/9/10 12:10,32.53989167,61.00471667,8.069374438
2022/9/10 12:20,32.71775,59.85373333,7.235794036
2022/9/10 12:30,32.78655833,59.3577,7.414989206
2022/9/10 12:40,32.70686667,58.83738333,7.497198083
2022/9/10 12:50,32.67613333,56.81083333,7.579264367
2022/9/10 13:00,32.8818,56.83315,7.755813675
2022/9/10 13:10,32.75221667,57.73483333,6.425572526
2022/9/10 13:20,32.701525,57.6358,7.355708134
2022/9/10 13:30,33.06871667,56.48676667,7.558406614
2022/9/10 13:40,33.19053333,56.04346667,7.212896837
2022/9/10 13:50,33.075075,56.04308333,6.825207034
2022/9/10 14:00,33.09515833,56.02785,7.296318762
2022/9/10 14:10,33.17704167,56.44153333,7.873797284
2022/9/10 14:20,33.1525,57.20395,6.883670151
2022/9/10 14:30,33.19535,58.43376667,7.63083538
2022/9/10 14:40,33.22899167,57.97851667,7.768748591
2022/9/10 14:50,33.17415833,58.00075,8.061161413
2022/9/10 15:00,33.00590833,58.6128,6.645743605
2022/9/10 15:10,32.8707,58.12798333,7.521372458
2022/9/10 15:20,32.98649167,57.50533333,7.545294505
2022/9/10 15:30,32.93050833,58.22088333,7.764366431
2022/9/10 15:40,32.845075,58.9598,6.785995464
2022/9/10 15:50,32.67918333,59.58645,7.422984638
2022/9/10 16:00,32.47765833,59.46525,7.451523258
2022/9/10 16:10,32.40285,60.15016667,7.947608048
2022/9/10 16:20,32.51974167,60.67101667,6.840935248
2022/9/10 16:30,32.47279167,61.0342,7.626667462
2022/9/10 16:40,32.05468333,62.55638333,7.756174836
2022/9/10 16:50,31.53584167,66.29081667,7.762021973
2022/9/10 17:00,31.22559167,66.70913333,7.989549944
2022/9/10 17:10,31.210225,66.39316667,6.6511179
2022/9/10 17:20,31.10866667,67.11618333,7.678095933
2022/9/10 17:30,31.09385,66.8637,7.762271751
2022/9/10 17:40,30.96170833,67.30758333,7.618220641
2022/9/10 17:50,31.01379167,66.5153,7.814610472
2022/9/10 18:00,31.13778333,65.99356667,6.793724703
2022/9/10 18:10,31.0918,66.39635,7.591891593
2022/9/10 18:20,31.04754167,66.85408333,7.705075077
2022/9/10 18:30,31.07229167,67.58633333,7.805447191
2022/9/10 18:40,30.7577,69.21841667,7.84375534
2022/9/10 18:50,30.73849167,69.89225,8.089786919
2022/9/10 19:00,30.75991667,70.15973333,6.799725202
2022/9/10 19:10,30.63108333,70.19915,7.816664022
2022/9/10 19:20,30.55163333,70.09403333,7.764364729
2022/9/10 19:30,30.45518333,70.37605,7.890644379
2022/9/10 19:40,30.36116667,70.4953,7.761976589
